City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
3,Hoi An,VN,87.76,15.8794,108.335,overcast clouds,Belle Maison Hadana Hoi An managed by H&K Hospitality
4,Winnemucca,US,69.12,40.973,-117.7357,clear sky,Winners Inn Casino
5,Sao Jose Da Coroa Grande,BR,80.85,-8.8978,-35.1478,broken clouds,Crôa Mares Hotel
6,Anahuac,MX,83.7,27.2333,-100.15,broken clouds,Rancho Guadalupe
9,Ust-Ishim,RU,63.77,57.6935,71.1665,broken clouds,"Velichko T.p., Gostinitsa"
12,Cayenne,GF,84.24,4.9333,-52.3333,broken clouds,Hôtel Le Dronmi
17,Martapura,ID,77.09,-3.4167,114.85,overcast clouds,Montana Hotel Syariah
20,Mirante Do Paranapanema,BR,75.13,-22.2919,-51.9064,overcast clouds,Estância das Flores
21,Honiara,SB,76.33,-9.4333,159.95,broken clouds,Heritage Park Hotel
23,Santa Maria Da Vitoria,BR,92.44,-13.3947,-44.1886,broken clouds,Pousada Rio Current
24,Puerto Ayora,EC,80.56,-0.7393,-90.3518,broken clouds,Finch Bay Galapagos Hotel
27,East London,ZA,61.63,-33.0153,27.9116,few clouds,Tu Casa
28,Corner Brook,CA,64.56,48.9667,-57.9484,few clouds,Glynmill Inn
29,Tautira,PF,77.02,-17.7333,-149.15,light rain,Pension Oaoa
30,Dordrecht,NL,75.06,51.81,4.6736,clear sky,Bastion Hotel Dordrecht - Papendrecht
31,Okitipupa,NG,84.61,6.5047,4.7839,light rain,Coastal Hotel & Suites
36,Mahibadhoo,MV,83.84,3.7833,72.9667,broken clouds,Omadhoo Inn
37,Jamestown,US,61.07,42.097,-79.2353,scattered clouds,Hampton Inn & Suites Jamestown
38,Itarema,BR,87.06,-2.9248,-39.9167,clear sky,"Sea Lounge! Bar, Club & Restaurant"
41,Guayaramerin,BO,89.65,-10.8368,-65.3614,scattered clouds,Hostal Funf
42,Souillac,MU,74.35,-20.5167,57.5167,clear sky,Shanti Maurice Resort & Spa
43,Kapaa,US,69.78,22.0752,-159.319,clear sky,Sheraton Kauai Coconut Beach Resort
45,Ardakan,IR,95.38,32.31,54.0175,clear sky,Ardakan Hotel
46,Port Hedland,AU,68.05,-20.3167,118.5667,broken clouds,The Esplanade Hotel
47,Saint-Francois,FR,72.84,46.4154,3.9054,clear sky,Manoir Du Bonheur
48,Khorixas,,78.15,-20.3667,14.9667,overcast clouds,Khorixas Lodge
51,Gillette,US,60.82,44.2911,-105.5022,clear sky,National 9 Inn - Gillette WY
53,Victoria,HK,87.33,22.2855,114.1577,overcast clouds,Mini Hotel Central
54,Baiyin,CN,68.88,36.5583,104.2081,broken clouds,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
55,Aksay,RU,70.25,47.26,39.87,overcast clouds,Chernaya Zhemchuzhina
56,Ternate,ID,81.73,0.8,127.4,overcast clouds,Grand Dafam Bela Ternate
58,Isangel,VU,70.3,-19.55,169.2667,overcast clouds,Tanna Lodge
59,Denpasar,ID,78.46,-8.65,115.2167,few clouds,ASTON Denpasar Hotel & Convention Center
60,Rikitea,PF,74.25,-23.1203,-134.9692,moderate rain,Pension Maro'i
62,Benguela,AO,82.11,-12.5763,13.4055,clear sky,Hotel Praia Morena
64,Brainerd,US,64.65,46.358,-94.2008,overcast clouds,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
65,Arraial Do Cabo,BR,78.66,-22.9661,-42.0278,broken clouds,Pousada Porto Praia
68,Georgetown,MY,85.89,5.4112,100.3354,few clouds,Cititel Penang
69,San Salvador El Seco,MX,66.7,19.1333,-97.65,clear sky,Hotel salón Angeles
70,Folkestone,GB,62.19,51.0833,1.1833,clear sky,Folkestone Grand Burstin Hotel
71,Bonthe,SL,81.46,7.5264,-12.505,light rain,Bonthe Holiday Village
72,Itaituba,BR,93.36,-4.2761,-55.9836,few clouds,Hotel Campos
74,Sergeyevka,KZ,72.79,53.88,67.4158,clear sky,Amina
75,Hermanus,ZA,60.91,-34.4187,19.2345,broken clouds,Misty Waves Boutique Hotel
76,Torbay,CA,60.89,47.6666,-52.7314,scattered clouds,Gallows Cove
78,Boyuibe,BO,62.51,-20.4167,-63.2833,overcast clouds,Residencial Eluzai
79,Carnduff,CA,63.37,49.1667,-101.8009,clear sky,Western Star All Suites Hotel Carnduff
80,Belmonte,BR,82.9,-15.8631,-38.8828,scattered clouds,Pousada Monte Carmelo O Pão
81,Chiredzi,ZW,71.51,-21.05,31.6667,clear sky,The Nesbitt Arms
82,Najran,SA,93.85,17.4924,44.1277,clear sky,محمد هادي ال فطيح
83,Port Shepstone,ZA,63.43,-30.7414,30.455,clear sky,My Den Beachfront Bed and Breakfast | Self-Catering
84,Sarandi,BR,62.15,-23.4436,-51.8739,heavy intensity rain,HOTEL GRALHA AZUL (GAPH) - Maringá
85,Stornoway,GB,64.92,58.2093,-6.3865,few clouds,Caladh Inn
87,Kamina,CD,68.41,-8.7386,24.9906,scattered clouds,Guest House Florvia
89,Nishihara,JP,75.25,26.1842,127.7558,light rain,Minshuku Agaihama
90,Pisco,PE,65.01,-13.7,-76.2167,overcast clouds,Hotel San Isidro Oficial
94,Moose Factory,CA,69.8,51.2585,-80.6094,clear sky,Moosonee Lilypad
95,Kabinda,CD,77.77,-6.1333,24.4833,scattered clouds,Village Mianda Mutole
96,Kavaratti,IN,83.75,10.5669,72.642,overcast clouds,Hotels in Lakshadweep Islands
98,Gannavaram,IN,91.38,16.5333,80.8,few clouds,K guest house.
100,Hilo,US,72.1,19.7297,-155.09,broken clouds,Hilo Hawaiian Hotel
101,Sao Joao Da Barra,BR,86.09,-21.6403,-41.0511,scattered clouds,Pousada Porto De Canoas
103,Nouakchott,MR,80.53,18.0858,-15.9785,scattered clouds,HOTEL IMAN فندق إيمان
105,Richards Bay,ZA,64.6,-28.783,32.0377,few clouds,BON Hotel Waterfront Richards Bay
106,Celestun,MX,86.58,20.8667,-90.4,broken clouds,Posada Lilia
111,Atuona,PF,80.4,-9.8,-139.0333,overcast clouds,Villa Enata
112,Fuerte Olimpo,PY,74.32,-21.0415,-57.8738,moderate rain,Hospedaje DAMI
113,Bonnyville,CA,64.2,54.2668,-110.735,few clouds,Best Western Bonnyville Inn & Suites
115,Anloga,GH,86.22,5.7947,0.8973,overcast clouds,Pin Drop Hotel
116,Butaritari,KI,82.8,3.0707,172.7902,light rain,Isles Sunset Lodge
117,Bengkulu,ID,76.6,-3.8004,102.2655,moderate rain,Grage Hotel Bengkulu
119,Ziebice,PL,60.91,50.6012,17.0406,overcast clouds,Internat Zespołu Szkół Ponadgimnazjalnych
121,Saint George,US,86.47,37.1041,-113.5841,clear sky,Best Western Plus Abbey Inn
122,Ormara,PK,84.76,25.2088,64.6357,clear sky,Crystal Beach and Camping Resort Ormara
124,Cape Town,ZA,62.1,-33.9258,18.4232,scattered clouds,Southern Sun Waterfront Cape Town
126,Haimen,CN,82.29,23.1935,116.6142,light rain,Jinghao Business Hotel
127,Grand Gaube,MU,75.6,-20.0064,57.6608,clear sky,Veranda Paul et Virginie Hotel & Spa
129,Teguise,ES,71.82,29.0605,-13.564,few clouds,B&B La Casona de Nazaret
131,Asau,RO,61.95,46.4333,26.4,broken clouds,Casa Mika Ciobanus
137,Vaini,TO,75.36,-21.2,-175.2,moderate rain,Keleti Beach Resort
140,Cerkezkoy,TR,68.18,41.285,28.0003,broken clouds,City Hotel
141,Tshikapa,CD,84.36,-6.4167,20.8,broken clouds,Hôtel Tshia-Muntu de Tshikapa
142,Port Blair,IN,82.33,11.6667,92.75,overcast clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
143,Kutum,SD,94.78,14.2,24.6667,few clouds,Dibbo areaمنطقة دبو
144,Camabatela,AO,76.77,-8.1881,15.375,broken clouds,Pensão E Restaurantes
145,Tartus,SY,75.49,34.889,35.8866,clear sky,خيمة نبراس للاجئين
147,Faanui,PF,79.92,-16.4833,-151.75,light rain,Bora-Bora Pearl Beach Resort & Spa
148,Pangkalanbuun,ID,75.94,-2.6833,111.6167,broken clouds,Grand Kecubung Hotel
149,Mahon,ES,77.56,39.8885,4.2658,clear sky,ARTIEM Capri
150,Guerrero Negro,MX,63.82,27.9769,-114.0611,scattered clouds,"Casa Laguna, Bed & Breakfast"
152,Xinyang,CN,72.88,32.1228,114.0656,light rain,Jinjiang Inn Style Xinyang Dongfanghong Avenue Culture Center
