City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Boyuibe,BO,-20.4167,-63.2833,62.51,42,100,7.72,overcast clouds
79,Carnduff,CA,49.1667,-101.8009,63.37,42,7,14.43,clear sky
80,Belmonte,BR,-15.8631,-38.8828,82.9,63,31,7.74,scattered clouds
81,Chiredzi,ZW,-21.05,31.6667,71.51,23,1,5.73,clear sky
82,Najran,SA,17.4924,44.1277,93.85,12,5,7.2,clear sky
83,Port Shepstone,ZA,-30.7414,30.455,63.43,71,7,16.17,clear sky
84,Sarandi,BR,-23.4436,-51.8739,62.15,100,75,5.75,heavy intensity rain
85,Stornoway,GB,58.2093,-6.3865,64.92,63,20,11.5,few clouds
86,Upernavik,GL,72.7868,-56.1549,31.71,94,100,7.7,overcast clouds
87,Kamina,CD,-8.7386,24.9906,68.41,37,38,4.09,scattered clouds
88,La Ronge,CA,55.1001,-105.2842,52.92,46,3,2.28,clear sky
89,Nishihara,JP,26.1842,127.7558,75.25,94,90,14.16,light rain
90,Pisco,PE,-13.7,-76.2167,65.01,94,90,6.91,overcast clouds
91,Tigil,RU,57.8,158.6667,34.68,84,24,2.26,few clouds
92,Port Macquarie,AU,-31.4333,152.9167,55.36,77,87,11.43,overcast clouds
93,Sabha,LY,27.0377,14.4283,107.87,5,6,8.14,clear sky
94,Moose Factory,CA,51.2585,-80.6094,69.8,19,1,14.97,clear sky
95,Kabinda,CD,-6.1333,24.4833,77.77,36,50,2.62,scattered clouds
96,Kavaratti,IN,10.5669,72.642,83.75,75,99,18.81,overcast clouds
97,Santa Maria,BR,-29.6842,-53.8069,54.7,47,0,4.0,clear sky
98,Gannavaram,IN,16.5333,80.8,91.38,62,20,1.14,few clouds
99,Saskylakh,RU,71.9167,114.0833,36.41,89,100,3.33,overcast clouds
100,Hilo,US,19.7297,-155.09,72.1,85,75,0.0,broken clouds
101,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,66,48,5.66,scattered clouds
102,Olafsvik,IS,64.8945,-23.7142,43.23,95,100,9.51,heavy intensity rain
103,Nouakchott,MR,18.0858,-15.9785,80.53,61,27,24.18,scattered clouds
104,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,54.5,48,1,12.15,clear sky
105,Richards Bay,ZA,-28.783,32.0377,64.6,70,13,10.38,few clouds
106,Celestun,MX,20.8667,-90.4,86.58,56,56,3.27,broken clouds
107,Port Lincoln,AU,-34.7333,135.8667,55.2,45,79,11.07,broken clouds
108,Novoagansk,RU,61.9449,76.6625,58.05,93,100,6.87,overcast clouds
109,Saldanha,ZA,-33.0117,17.9442,58.17,81,5,7.76,clear sky
110,Haines Junction,CA,60.7522,-137.5108,48.15,53,100,6.91,overcast clouds
111,Atuona,PF,-9.8,-139.0333,80.4,59,99,7.34,overcast clouds
112,Fuerte Olimpo,PY,-21.0415,-57.8738,74.32,73,100,6.98,moderate rain
113,Bonnyville,CA,54.2668,-110.735,64.2,58,21,7.78,few clouds
114,Palmer,US,42.1584,-72.3287,49.48,85,90,1.01,moderate rain
115,Anloga,GH,5.7947,0.8973,86.22,74,94,14.5,overcast clouds
116,Butaritari,KI,3.0707,172.7902,82.8,78,89,14.41,light rain
117,Bengkulu,ID,-3.8004,102.2655,76.6,90,100,4.97,moderate rain
118,Maniitsoq,GL,65.4167,-52.9,35.64,87,100,5.7,overcast clouds
119,Ziebice,PL,50.6012,17.0406,60.91,71,93,7.85,overcast clouds
120,Kodiak,US,57.79,-152.4072,45.91,87,90,6.91,overcast clouds
121,Saint George,US,37.1041,-113.5841,86.47,15,1,1.01,clear sky
122,Ormara,PK,25.2088,64.6357,84.76,82,0,18.57,clear sky
123,Magadan,RU,59.5667,150.8,35.46,99,100,4.32,light rain
124,Cape Town,ZA,-33.9258,18.4232,62.1,45,33,4.29,scattered clouds
125,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,47,1,10.36,clear sky
126,Haimen,CN,23.1935,116.6142,82.29,93,100,14.58,light rain
127,Grand Gaube,MU,-20.0064,57.6608,75.6,80,1,1.99,clear sky
128,Leshukonskoye,RU,64.8989,45.7622,44.24,50,97,6.08,overcast clouds
129,Teguise,ES,29.0605,-13.564,71.82,60,20,21.09,few clouds
130,Cherskiy,RU,68.75,161.3,50.94,48,15,6.38,few clouds
131,Asau,RO,46.4333,26.4,61.95,69,57,3.58,broken clouds
132,Port Elizabeth,ZA,-33.918,25.5701,59.09,65,56,9.62,broken clouds
133,Castro,BR,-24.7911,-50.0119,57.18,97,100,2.3,overcast clouds
134,Ilulissat,GL,69.2167,-51.1,51.82,32,62,10.36,broken clouds
135,Mandalgovi,MN,45.7625,106.2708,41.4,62,75,21.63,broken clouds
136,Krasnaya Gora,RU,52.9995,31.6023,58.91,67,93,10.47,overcast clouds
137,Vaini,TO,-21.2,-175.2,75.36,100,90,5.75,moderate rain
138,Aklavik,CA,68.2191,-135.0107,38.23,60,20,13.8,few clouds
139,Tasiilaq,GL,65.6145,-37.6368,39.36,83,98,18.23,overcast clouds
140,Cerkezkoy,TR,41.285,28.0003,68.18,60,75,11.97,broken clouds
141,Tshikapa,CD,-6.4167,20.8,84.36,35,51,2.28,broken clouds
142,Port Blair,IN,11.6667,92.75,82.33,78,100,2.04,overcast clouds
143,Kutum,SD,14.2,24.6667,94.78,12,18,11.56,few clouds
144,Camabatela,AO,-8.1881,15.375,76.77,40,52,4.23,broken clouds
145,Tartus,SY,34.889,35.8866,75.49,65,0,3.4,clear sky
146,Sistranda,NO,63.7256,8.834,49.96,78,88,5.91,overcast clouds
147,Faanui,PF,-16.4833,-151.75,79.92,77,91,14.7,light rain
148,Pangkalanbuun,ID,-2.6833,111.6167,75.94,94,67,1.77,broken clouds
149,Mahon,ES,39.8885,4.2658,77.56,41,0,5.75,clear sky
150,Guerrero Negro,MX,27.9769,-114.0611,63.82,66,30,15.19,scattered clouds
151,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,59.85,38,0,8.34,clear sky
152,Xinyang,CN,32.1228,114.0656,72.88,82,86,4.72,light rain
153,Saint-Joseph,RE,-21.3667,55.6167,70.21,83,18,7.78,few clouds
154,Klaksvik,FO,62.2266,-6.589,56.32,95,84,21.32,broken clouds
155,Broome,US,42.2506,-75.833,53.62,72,90,1.99,overcast clouds
156,Bambanglipuro,ID,-7.95,110.2833,63.61,86,38,3.91,scattered clouds
157,Ponta Do Sol,PT,32.6667,-17.1,71.71,76,32,5.01,scattered clouds
158,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,87,90,3.69,overcast clouds
159,Lenine,UA,45.2986,35.7771,70.88,58,20,4.54,few clouds
160,Wajir,KE,1.7471,40.0573,88.38,36,89,8.08,overcast clouds
161,Hamilton,US,39.1834,-84.5333,60.58,70,90,1.01,overcast clouds
162,Oktyabrskoye,RU,43.0645,44.7417,66.34,68,75,2.57,broken clouds
163,Beringovskiy,RU,63.05,179.3167,30.15,78,11,8.86,few clouds
164,Severo-Kurilsk,RU,50.6789,156.125,38.97,97,100,14.27,light rain
165,Batemans Bay,AU,-35.7167,150.1833,42.91,86,0,4.32,clear sky
166,Bethel,US,41.3712,-73.414,50.31,90,90,1.99,overcast clouds
167,Hobart,AU,-42.8794,147.3294,40.05,91,23,1.01,few clouds
168,Kandi,BJ,11.1342,2.9386,93.78,34,85,4.03,overcast clouds
169,Talladega,US,33.4359,-86.1058,67.96,63,20,6.6,few clouds
170,Kruisfontein,ZA,-34.0033,24.7314,56.88,68,100,9.19,overcast clouds
171,Talnakh,RU,69.4865,88.3972,36.34,85,100,18.97,light rain
172,Nacala,MZ,-14.5428,40.6728,74.1,72,2,6.29,clear sky
173,Vanavara,RU,60.34,102.2797,38.53,86,100,2.53,overcast clouds
174,Nikolskoye,RU,59.7035,30.7861,56.39,40,8,6.8,clear sky
175,Natal,BR,-5.795,-35.2094,88.45,55,40,11.23,scattered clouds
176,Bathsheba,BB,13.2167,-59.5167,88.41,55,75,20.74,broken clouds
177,Verkhoyansk,RU,67.5447,133.385,47.19,66,57,7.67,broken clouds
178,Burnie,AU,-41.0667,145.9167,41.92,88,3,3.67,clear sky
179,Rabo De Peixe,PT,37.8,-25.5833,67.51,60,20,10.18,few clouds
180,Vao,NC,-22.6667,167.4833,70.23,54,95,18.66,overcast clouds
181,Sorland,NO,67.667,12.6934,46.47,91,100,18.21,light rain
182,Hithadhoo,MV,-0.6,73.0833,83.14,73,49,16.82,scattered clouds
183,Linkou,CN,45.3,130.2833,52.32,89,100,1.05,overcast clouds
184,Champerico,GT,14.3,-91.9167,91.76,63,79,1.72,broken clouds
185,San Jeronimo,PE,-11.9472,-75.2829,59.22,50,53,2.46,broken clouds
186,Umm Lajj,SA,25.0213,37.2685,86.07,58,11,12.3,few clouds
187,Namibe,AO,-15.1961,12.1522,75.22,66,15,15.37,few clouds
188,Yeppoon,AU,-23.1333,150.7333,58.78,84,2,10.92,clear sky
189,Ingham,US,42.6,-84.3833,66.18,37,1,3.44,clear sky
190,Bambous Virieux,MU,-20.3428,57.7575,74.21,74,1,6.2,clear sky
191,Ribeira Grande,PT,38.5167,-28.7,68.4,68,20,4.61,few clouds
192,Ngorongoro,TZ,-3.2397,35.4875,54.37,84,85,4.36,overcast clouds
193,Kahului,US,20.8947,-156.47,72.84,78,1,6.91,clear sky
194,Portland,US,45.5234,-122.6762,67.86,61,40,3.0,scattered clouds
195,Tawang,IN,27.5833,91.8667,54.5,95,79,1.21,broken clouds
196,Aktanysh,RU,55.7216,54.0829,54.9,83,33,16.67,scattered clouds
197,Lagoa,PT,39.05,-27.9833,63.5,74,28,9.64,scattered clouds
198,Quthing,LS,-30.4,27.7003,46.47,38,0,2.28,clear sky
199,Bhanvad,IN,21.9264,69.7736,83.82,75,100,14.09,overcast clouds
200,Turbat,PK,26.0023,63.044,96.73,22,0,12.91,clear sky
201,Gorin,RU,51.1983,136.6669,46.04,84,100,2.44,overcast clouds
202,Merauke,ID,-8.4667,140.3333,75.52,86,76,12.48,broken clouds
203,Cap Malheureux,MU,-19.9842,57.6142,75.69,80,1,1.99,clear sky
204,Pantai Remis,MY,4.4557,100.6288,78.82,85,97,4.36,overcast clouds
205,Copiapo,CL,-27.3667,-70.3333,55.09,23,0,4.5,clear sky
206,Tsevie,TG,6.4261,1.2133,85.08,56,99,11.99,light rain
207,Caravelas,BR,-17.7125,-39.2481,83.44,61,10,9.37,clear sky
208,Petropavlivka,UA,48.4564,36.4367,65.75,71,39,10.83,scattered clouds
209,Saint-Philippe,RE,-21.3585,55.7679,71.22,85,36,9.15,scattered clouds
210,Padang,ID,-0.9492,100.3543,77.13,89,74,3.91,moderate rain
211,Cabo San Lucas,MX,22.8909,-109.9124,90.7,47,1,3.44,clear sky
212,Laguna,US,38.421,-121.4238,76.82,67,1,1.01,clear sky
213,Yasenskaya,RU,46.3592,38.269,67.44,81,17,15.68,few clouds
214,Luderitz,NA,-26.6481,15.1594,64.87,59,83,17.18,broken clouds
215,Peniche,PT,39.3558,-9.3811,81.88,79,85,10.56,overcast clouds
216,Puerto Escondido,MX,15.85,-97.0667,88.63,70,1,4.61,clear sky
217,Kapiri Mposhi,ZM,-13.9652,28.6809,64.87,34,0,6.35,clear sky
218,Nurota,UZ,40.5614,65.6886,91.49,16,0,3.98,clear sky
219,Sao Felix Do Xingu,BR,-6.6447,-51.995,91.2,38,1,6.64,clear sky
220,Aleksandrov,RU,56.4,38.71,50.86,55,65,10.51,broken clouds
